           1 ,            1 ,   0.99999999999998423      ,    3.0338212703498934E-007 ,   -1.8735013540549812E-016
           1 ,            2 ,   0.99999999999998435      ,    5.5430672813925643E-007 ,   -4.8572257327351357E-017
           1 ,            3 ,   0.99999999999998446      ,    7.0938666029211608E-007 ,   -1.1796119636642471E-016
           1 ,            4 ,   0.99999999999998457      ,    7.4180719426484887E-007 ,   -2.7755575615629345E-017
           1 ,            5 ,   0.99999999999998446      ,    6.4596252522323601E-007 ,   -1.7347234759768340E-016
           1 ,            6 ,   0.99999999999998435      ,    4.3842506717781804E-007 ,    4.8572257327351357E-017
           1 ,            7 ,   0.99999999999998435      ,    1.5507993208694026E-007 ,   -4.8572257327351357E-017
           1 ,            8 ,   0.99999999999998435      ,   -1.5507993212510417E-007 ,    8.6736173798841711E-017
           1 ,            9 ,   0.99999999999998435      ,   -4.3842506722292085E-007 ,    8.3266726846888047E-017
           1 ,           10 ,   0.99999999999998423      ,   -6.4596252523364445E-007 ,    1.5265566588596144E-016
           1 ,           11 ,   0.99999999999998435      ,   -7.4180719426484908E-007 ,    8.3266726846888047E-017
           1 ,           12 ,   0.99999999999998435      ,   -7.0938666029558563E-007 ,    1.5959455978986874E-016
           1 ,           13 ,   0.99999999999998423      ,   -5.5430672814966488E-007 ,    2.7755575615629351E-017
           1 ,           14 ,   0.99999999999998423      ,   -3.0338212703845878E-007 ,    2.0816681711722013E-016
           1 ,           15 ,   0.99999999999998423      ,   -6.9388939039073378E-018 ,    1.6653345369377612E-016
           1 ,           16 ,   0.99999999999998423      ,    3.0338212701070321E-007 ,    2.6020852139652516E-016
           1 ,           17 ,   0.99999999999998412      ,    5.5430672808027594E-007 ,    0.0000000000000000     
           1 ,           18 ,   0.99999999999998401      ,    7.0938666023660524E-007 ,    1.3530843112619312E-016
           1 ,           19 ,   0.99999999999998435      ,    7.4180719421627682E-007 ,   -6.5919492087119705E-017
           1 ,           20 ,   0.99999999999998423      ,    6.4596252518507220E-007 ,    1.0408340855861007E-017
           1 ,           21 ,   0.99999999999998390      ,    4.3842506716394041E-007 ,   -2.0469737016526654E-016
           1 ,           22 ,   0.99999999999998412      ,    1.5507993208000139E-007 ,   -5.8980598183212378E-017
           1 ,           23 ,   0.99999999999998412      ,   -1.5507993214592088E-007 ,   -2.2204460492503486E-016
           1 ,           24 ,   0.99999999999998435      ,   -4.3842506723679864E-007 ,   -5.2041704279305026E-017
           1 ,           25 ,   0.99999999999998423      ,   -6.4596252525099169E-007 ,   -2.1510571102112748E-016
           1 ,           26 ,   0.99999999999998412      ,   -7.4180719427178808E-007 ,   -1.3877787807814676E-016
           1 ,           27 ,   0.99999999999998423      ,   -7.0938666029905518E-007 ,   -1.6306400674182243E-016
           1 ,           28 ,   0.99999999999998435      ,   -5.5430672815313422E-007 ,   -8.6736173798841711E-017
           1 ,           29 ,   0.99999999999998435      ,   -3.0338212704192823E-007 ,   -2.1857515797308112E-016
           1 ,           30 ,   0.99999999999998423      ,   -3.4694469519536689E-018 ,   -6.9388939039073381E-017
           2 ,            1 ,   0.99999999999998423      ,    3.0338212703498934E-007 ,   -1.8735013540549812E-016
